ID,movie_title,class,year,runtime,rating,meta
tt0120591,Armageddon,PG-13,1998.0,151.0,6.7,42.0
tt0091203,Highlander,R,1986.0,116.0,7.1,24.0
tt1190080,2012,PG-13,2009.0,158.0,5.8,49.0
tt0114508,Species,R,1995.0,108.0,5.8,49.0
tt1028528,Death Proof,TV-MA,2007.0,127.0,7.0,
tt0319262,The Day After Tomorrow,PG-13,2004.0,124.0,6.4,47.0
tt2872732,Lucy,R,2014.0,89.0,6.4,61.0
tt2820852,Furious 7,PG-13,2015.0,137.0,7.1,67.0
tt1650062,Super 8,PG-13,2011.0,112.0,7.0,72.0
tt3079380,Spy,R,2015.0,120.0,7.0,75.0
tt0183790,A Knight's Tale,PG-13,2001.0,132.0,6.9,56.0
tt1250777,Kick-Ass,R,2010.0,117.0,7.6,66.0
tt2397535,Predestination,R,2014.0,97.0,7.5,69.0
tt0093870,RoboCop,R,1987.0,102.0,7.5,67.0
tt8721556,Jallikattu,Not Rated,2019.0,95.0,7.6,
tt6539992,Embattled,R,2020.0,117.0,6.5,54.0
tt0111257,Speed,R,1994.0,116.0,7.2,78.0
tt1981115,Thor: The Dark World,PG-13,2013.0,112.0,6.9,54.0
tt6499752,Upgrade,R,2018.0,100.0,7.5,67.0
tt0988045,Sherlock Holmes,PG-13,2009.0,128.0,7.6,57.0
tt0316654,Spider-Man 2,PG-13,2004.0,127.0,7.3,83.0
tt2283336,Men in Black: International,PG-13,2019.0,114.0,5.6,38.0
tt0320691,Underworld,R,2003.0,121.0,7.0,42.0
tt0119654,Men in Black,PG-13,1997.0,98.0,7.3,71.0
tt0090022,Silverado,PG-13,1985.0,133.0,7.2,64.0
tt2179136,American Sniper,R,2014.0,133.0,7.3,72.0
tt0114898,Waterworld,PG-13,1995.0,135.0,6.2,56.0
tt2704998,Game Night,R,2018.0,100.0,6.9,66.0
tt0116908,The Long Kiss Goodnight,R,1996.0,121.0,6.8,44.0
tt0118688,Batman & Robin,PG-13,1997.0,125.0,3.8,28.0
tt1846589,Hunter Killer,R,2018.0,121.0,6.6,43.0
tt1343727,Dredd,R,2012.0,95.0,7.1,60.0
tt2172934,3 Days to Kill,PG-13,2014.0,117.0,6.2,40.0
tt0093409,Lethal Weapon,R,1987.0,109.0,7.6,68.0
tt10620868,#Alive,TV-MA,2020.0,98.0,6.2,
tt9820556,Breach,R,2020.0,,,
tt3731562,Kong: Skull Island,PG-13,2017.0,118.0,6.6,62.0
tt0442933,Beowulf,PG-13,2007.0,115.0,6.2,59.0
tt1229238,Mission: Impossible - Ghost Protocol,PG-13,2011.0,132.0,7.4,73.0
tt1232829,21 Jump Street,R,2012.0,109.0,7.2,69.0
tt4172430,13 Hours,R,2016.0,144.0,7.3,48.0
tt11032374,Demon Slayer the Movie: Mugen Train,,2020.0,117.0,8.3,
tt0117998,Twister,PG-13,1996.0,113.0,6.4,68.0
tt0942385,Tropic Thunder,R,2008.0,107.0,7.0,71.0
tt0120347,Tomorrow Never Dies,PG-13,1997.0,119.0,6.5,52.0
tt0472043,Apocalypto,R,2006.0,139.0,7.8,68.0
tt0938283,The Last Airbender,PG,2010.0,103.0,4.0,20.0
tt8664988,The Blackout,TV-MA,2019.0,127.0,6.1,
tt4779682,The Meg,PG-13,2018.0,113.0,5.6,46.0
tt1228705,Iron Man 2,PG-13,2010.0,124.0,7.0,57.0
tt1267297,Hercules,PG-13,2014.0,98.0,6.0,47.0
tt1253864,Immortals,R,2011.0,110.0,6.0,46.0
tt0455944,The Equalizer,R,2014.0,132.0,7.2,57.0
tt0109506,The Crow,R,1994.0,102.0,7.6,71.0
tt1253863,300: Rise of an Empire,R,2014.0,102.0,6.2,48.0
tt2980592,The Guest,R,2014.0,100.0,6.7,76.0
tt0113855,Mortal Kombat,PG-13,1995.0,101.0,5.8,58.0
tt4701182,Bumblebee,PG-13,2018.0,114.0,6.8,66.0
tt0808151,Angels & Demons,PG-13,2009.0,138.0,6.7,48.0
tt1587310,Maleficent,PG,2014.0,97.0,7.0,56.0
tt4532826,Robin Hood,PG-13,2018.0,116.0,5.3,32.0
tt1764651,The Expendables 2,R,2012.0,103.0,6.6,51.0
tt1809398,Unbroken,PG-13,2014.0,137.0,7.2,59.0
tt0097742,Licence to Kill,PG-13,1989.0,133.0,6.6,58.0
tt0325710,The Last Samurai,R,2003.0,154.0,7.7,55.0
tt0111503,True Lies,R,1994.0,141.0,7.2,63.0
tt0119174,The Game,R,1997.0,129.0,7.8,61.0
tt1206885,Rambo: Last Blood,R,2019.0,89.0,6.1,26.0
tt0106977,The Fugitive,PG-13,1993.0,130.0,7.8,87.0
tt1951266,The Hunger Games: Mockingjay - Part 2,PG-13,2015.0,137.0,6.6,65.0
tt0120735,"Lock, Stock and Two Smoking Barrels",R,1998.0,107.0,8.2,66.0
tt0363547,Dawn of the Dead,R,2004.0,101.0,7.3,59.0
tt2660888,Star Trek Beyond,PG-13,2016.0,122.0,7.1,68.0
tt0112442,Bad Boys,R,1995.0,119.0,6.9,41.0
tt0480249,I Am Legend,PG-13,2007.0,101.0,7.2,65.0
tt1298650,Pirates of the Caribbean: On Stranger Tides,PG-13,2011.0,136.0,6.6,45.0
tt0083944,First Blood,R,1982.0,93.0,7.7,61.0
tt0110632,Natural Born Killers,R,1994.0,118.0,7.3,74.0
tt2345759,The Mummy,PG-13,2017.0,110.0,5.4,34.0
tt0120611,Blade,R,1998.0,120.0,7.1,45.0
tt5715066,Mortal,R,2020.0,104.0,5.8,20.0
tt1133985,Green Lantern,PG-13,2011.0,114.0,5.5,39.0
tt2274648,Hellboy,R,2019.0,120.0,5.2,31.0
tt0103644,Alien³,R,1992.0,114.0,6.5,59.0
tt2245084,Big Hero 6,PG,2014.0,102.0,7.8,74.0
tt0408306,Munich,R,2005.0,164.0,7.5,74.0
tt0360486,Constantine,R,2005.0,121.0,7.0,50.0
tt6222118,The Doorman,R,2020.0,97.0,4.4,41.0
tt0082398,For Your Eyes Only,PG,1981.0,127.0,6.7,54.0
